Ime,Drzava,Datum ustanovitve,Opis
Global A Entertainment,Japan,1997,"Renamed to GAE, Inc. in 2009."
Global Star Software,Canada,1992,"Publishing label of Take-Two Interactive, name retired."
Global VR,United States,1998,
Glu Mobile,United States,2001,Developer and publisher of mobile games
Gogii Games,Canada,2006,Developer/publisher
Good-Feel,Japan,2005,Founded by former employees of Konami
Got Game Entertainment,United States,2002,
Gotham Games,United States,2002,Label of Take-Two Interactive. Defunct in 2003.
Gottlieb,United States,1927,Defunct in 1996.
Grandslam Entertainment,UK,1987,Defunct in 1995.
Granzella,Japan,2011,Founded by former Irem employees
Graphsim Entertainment,Texas,1992,Also known as Graphic Simulations.
Grasshopper Manufacture,Japan,1998,Founded by Suda51; acquired by GungHo Online Entertainment in 2013
Gravity,South Korea,2000,Acquired by GungHo Online Entertainment
Gray Matter Interactive,United States,1993,Merged into Treyarch in 2005
Great Wave Software,United States,1984,Defunct.
Gremlin Industries,United States,1973,Acquired by Bally in 1984.
Gremlin Interactive,United Kingdom,1984,Taken over by Infogrames in 1999 studio closed in 2003
Grezzo,Japan,2006,Second-party developer of Nintendo
Grinding Gear Games,New Zealand,2006,Acquired by Tencent
Griptonite Games,United States,1994,Acquired by Glu Mobile
Grolier Interactive Inc,United States,1982,Known as Grolier Electronic Publishing Inc until 1996. Acquired by Scholasttic in 1999.
Groove Games,Canada,2001,Defunct in 2009.
Guerrilla Cambridge,United Kingdom,"1997 (as SCE Cambridge Studio), 2013",Branch of Guerrilla Games and division of SIE Worldwide Studios; closed in 2017
Guerrilla Games,Netherlands,2000,Division of SIE Worldwide Studios since 2004
Gunfire Games,United States,2014,Formed by former employees of Vigil Games; acquired by THQ Nordic in 2019
GungHo Online Entertainment,Japan,1998,Developer/publisher
Gust,Japan,1993,Became a division of Koei Tecmo Games in 2014
Gust Co. Ltd.,Japan,1993,Acquired by Koei Tecmo in 2011 and their games are now published by Koei Tecmo.
HAL Laboratory,Japan,1980,Developer closely associated with Nintendo
HB Studios,Canada,2000,
Hacker International,Japan,1990,Defunct in 2001.
Haemimont Games,Bulgaria,1997,
Haikuo Soft,Japan,2001,
Halfbrick,Australia,2001,Mobile game developer/publisher
Hamster Corporation,Japan,1999,
Hanaho,United States,1992,
HanbitSoft,South Korea,1999,Acquired by T3 Entertainment.
Hangar 13,United States,2014,Subsidiary of 2K Games
Harebrained Schemes,United States,2011,Acquired by Paradox Interactive in 2018
Harmonix Music Systems,United States,1995,Former subsidiary of Viacom
Hasbro Interactive,United States,1995,"Assets acquired by Atari, SA née Infogrames in 2000, no staff retained"
HeR Interactive,United States,1995,Also a video game developer.
Headstrong Games,United Kingdom,2000,Subsidiary of Kuju Entertainment; defunct in 2017
Heartbeat,Japan,1992,
Hect,Japan,1988,Defunct in 2002.
HeroCraft,Russia,2001,
Heureka-Klett,Germany,1996,Defunct.
Hewson Consultants,UK,1981,Defunct in 1991.
Hi Tech Expressions,United States,1988,
High Impact Games,United States,2003,Founded by former employees of Insomniac Games & Naughty Dog
High Moon Studios,United States,2005,Subsidiary of Activision
High Voltage Software,United States,1993,
Hirameki,United States,2000,Ceased publishing video games in 2008.
Hodder & Stoughton,UK,1868,No longer publishes video games.
Home Entertainment Suppliers,Australia,1984,Also known as HES.
Hooksoft,Japan,2000,
HopeLab,United States,2001,
Hoplon Infotainment,Brazil,2004,
Hothead Games,Canada,2006,Founded by former employees of Radical Entertainment
Houghton Mifflin Harcourt,United States,1832,"Publishes games through its software division, Houghton Mifflin Harcourt Learning Technology, which was known as Riverdeep PLC until its acquisition of Houghton Mifflin in 2006, and then as Houghton Mifflin Riverdeep Group until 2007."
Housemarque,Finland,1995,
Hudson Soft,Japan,1973,Developer/publisher; acquired and dissolved by Konami
Human Engineered Software,United States,1980,Acquired by Avant Garde Publishing Corp. in 1984.
Human Entertainment,Japan,1983,
Human Head Studios,United States,1997,
Humble Bundle,US,2010,Acquired by IGN Entertainment
HummingBirdSoft,Japan,1982,Defunct.
Humongous Entertainment,United States,1992,Former subsidiary of Infogrames; closed in 2006; their assets and brand were acquired by Tommo and relaunched in 2013
Hyperion Entertainment,Belgium,1999,
IBM,United States,1911,
ICOM Simulations,United States,1981,"Acquired by Viacom New Media in 1993, reformed as Rabid Entertainment in 1997, and closed in 1998."
INTV Corporation,United States,1984,Defunct in 1990.
IO Interactive,Denmark,1998,"Subsidiary of Square Enix until 2017 when they dropped IO, they then became independent"
ITE Media,Denmark,1998,Software publishing arm of Interactive Television Entertainment. Acquired by NDS Group in 2006; defunct in 2010.
Ice-Pick Lodge,Russia,2002,
Iceberg Interactive,The Netherlands,2009,
Idea Factory,Japan,1994,Developer/publisher
Idol Minds,United States,1997,
Ignition Entertainment,UK,2002,Acquired by The Walt Disney Company
Illusion Soft,Japan,2001,
Image & Form,Sweden,1997,Subsidiary of Thunderful
Image Works,UK,1988,Label of Mirrorsoft. Last game published in 1991.
Imageepoch,Japan,2005,Defunct in 2016
Imagic,United States,1981,Also a video game developer.
Imagine Software,UK,1982,"Defunct in 1984; rights bought by Ocean Software, which continued to use the Imagine name as a label on some games."
Imagineer,Japan,1986,
Ime,Država,Datum ustanovitve,Opis
Impressions Games,United States,1989,Acquired by Sierra in 1995; defunct in 2004.
Incentive Software,UK,1983,Reformed as Superscape in 1992.
Incognito Entertainment,United States,1999,Formed by former employees of SingleTrac; subsidiary of SCE Worldwide Studios; defunct in 2009
Incredible Technologies,United States,1985,"Defunct in 2016; arcade game designer, arcade game manufacturer"
Infinity Ward,United States,2002,Acquired by Activision in 2003.
Infocom,United States,1979,Closed in 1989.
Infogrames,France,1983,"(Renamed Atari, SA)"
Innerloop Studios,Norway,1996,Defunct in 2003
Innerprise Software,United States,1989,Defunct in 1992.
Inscape,United States,1994,"Acquired by Graphix Zone in early 1997, which ceased operations in November 1997."
Insomniac Games,United States,1994,Acquired by Sony Interactive Entertainment in 2019 as a division of SIE Worldwide Studios
Intelligent Systems,Japan,1986,Developer closely associated with Nintendo
Intellivision Productions,United States,1997,
Interactive Magic,United States,1994,Changed name to iEntertainment Network in 1999.
Interceptor Micros,UK,1982,Also a video game developer. Defunct in 1992.
Interchannel,Japan,1931,Subsidiary of NEC until 2004. No longer publishes video games.
International Games System,Taiwan,1989,
Interplay Entertainment,United States,1983,Developer/publisher
Introversion Software,United Kingdom,2002,
Ion Storm,United States,1996,Shut down in 2001; subsidiary of Eidos Interactive
Ion Storm Austin,United States,1997,Shut down in 2005; subsidiary of Eidos Interactive
Irem,Japan,1974,Subsidiary of Eizo
Iron Galaxy Studios,United States,2008,
Iron Lore Entertainment,United States,2000,Defunct in 2008
Irrational Games,United States,1996,Subsidiary of 2K Games; defunct in 2017. Their main employees moved to Ghost Story Games.
Ivory Tower,France,2007,Subsidiary of Ubisoft;[21] founded by former employees of Eden Games
J.K. Greye Software,UK,1981,Reformed as J.K. Greye Enterprises Ltd in 1983.
JAST USA,United States,1996,
JV Games,United States,1999,
Jadestone Group,Sweden,2000,"Subsidiary of WMS Industries; Online game developer, mobile game developer"
Jagex,United Kingdom,2001,Subsidiary of Shanghai Fukong Interactive Entertainment (formerly Zhongji Holding); online game developer
Jaleco,Japan,1974,Acquired by Game Yarou in 2009 and defunct in 2014
Jam City,United States,2007,Subsidiary of Netmarble;[22] mobile game developer
Japan Studio,Japan,1993,Division of SIE Worldwide Studios
Javaground,United States,2001,Mobile game developer
Jester Interactive,UK,1997,
JoWooD Productions,Austria,1995,Folded into Nordic Games in 2011.
Johnson & Johnson,United States,1886,No longer publishes video games.
JumpStart Games (formerly Knowledge Adventure),United States,1989,Acquired by NetDragon Websoft.
Jupiter,Japan,1996,
K2 Network (Gamersfirst),United States,2001,"Merged with Reloaded Games. Reloaded Games no longer publishes games, and their publishing title is now published by GamersFirst.[3]"
KID,Japan,1988,Defunct in 2006.
KOG Studios,South Korea,2000,
KSS,Japan,1990,Exited the video game industry in 2001.
Kairosoft,Japan,1996,
Kalisto Entertainment,France,1990,"Label of Atreid Concept until 1996, when it became the name of the company as a whole. Defunct in 2002."
Kalypso Media,Germany,2006,Developer/publisher
Kaneko,Japan,1980,
Kaos Studios,United States,2006,Subsidiary of THQ
Kaypro,United States,1981,Defunct in 1992; reestablished in 1999; defunct again in 2001.
Keen Software House,Czech Republic,2010,
Kemco,Japan,1984,Also a video game developer.
Kesmai,United States,1981,Subsidiary of Electronic Arts; closed in 2001
Kiloo Games,Denmark,2000,Mobile game developer
King,Sweden,2003,Subsidiary of Activision Blizzard; Mobile game developer
King Games,Florida,2006,Label of Burger King used for a 2006 advergame promotion.
King Records,Japan,1931,No longer publishes video games.
Kingsoft,Germany,1983,Acquired by Electronic Arts in 1983; defunct in 2000.
Koch Media,Germany,1994,Bought by THQ Nordic February 2018
Kodansha,Japan,1938,No longer publishes video games.
Koei,Japan,1976,Also a video game developer. Merged into Tecmo Koei.
Koei Tecmo,Japan,2009,Changed name from Tecmo Koei in 2014.
Koei Tecmo Games (formerly Koei),Japan,1978,Developer/publisher; subsidiary of Koei Tecmo Holdings
Kogado Studio,Japan,1916,
Kojima Productions,Japan,2005,
Konami,Japan,1969,Developer/publisher
Kongzhong,China,2002,
Krisalis Software,UK,1987,Defunct in 2001.
Krome Studios,Australia,1999,Defunct
Krome Studios Melbourne,Australia,1988,Defunct
Kuju Entertainment,United Kingdom,1998,Subsidiary of Catalis SE
Kuma Reality Games,United States,2003,
Kunos Simulazioni,Italy,2005,Subsidiary of Digital Bros
Kure Software Koubou,Japan,1985,Also known as KSK.
Kush Games,United States,1998,
Kylotonn,France,2002,Acquired by Bigben Interactive (latterly Nacon) in 2018[23]
LJN,United States,1970,Acquired by Acclaim Entertainment.
LK Avalon,Poland,1989,
La'cryma,Japan,2006,
Lankhor,France,1987,Defunct in 2001.
Larian Studios,Belgium,1996,
Le Lombard,Belgium,1946,No longer publishes video games.
Legacy Interactive,United States,1998,
Legend Entertainment,United States,1989,Closed in 2004.
Legendo Entertainment,Sweden,2004,Developer/publisher
Lego Interactive,UK,1996,"Publishing arm of Lego Group. Known as Lego Media until 2000, and Lego Software from then until 2002. Defunct in 2005."
Leland Corporation,United States,1987,Renamed to Leland Interactive Media in 1993. Acquired by WMS Industries in 1994.
Level 9 Computing,UK,1981,Defunct in 1991.
Level-5,Japan,1998,Developer/publisher and founded by Akihiro Hino
Lift London,United Kingdom,2012,Subsidiary by Microsoft Studios in 2018
Lighthouse Interactive,The Netherlands,2005,Acquired by SilverBirch Inc. in 2008; defunct in 2009.
Limbic Entertainment,Germany,2002,
Limited Run Games,United States,2015,
Linden Lab,United States,1999,
Linux Game Publishing,UK,2001,inactive
Lionhead Studios,United Kingdom,1997,Closed by Microsoft Studios in 2016
Liquid Entertainment,United States,1999,Dissolved in 2018[24]
Little Green Men Games,Croatia,2006,
Llamasoft,United Kingdom,1982,
Lock 'n Load Publishing,US,2006,
Locomotive Games,United States,1997,Defunct in 2008
Logotron Ltd,UK,1987,Published last game in 1990.
Loki Software,United States,1998,
London Studio,United Kingdom,2002,Division of SIE Worldwide Studios
Looking Glass Studios,United States,1990,
Loriciel,France,1983,Defunct in 1995.
Love-de-Lic,Japan,1995,Formed by former employees of Square
LucasArts,United States,1982,"Publisher and former developer; closed as developer of April 3, 2013 by Disney"
Luma Arcade,South Africa,2006,Division of Luma Animation
Lump of Sugar,Japan,2005,
Luxoflux,United States,1998,
MAGES.,Japan,2005,Acquired by COLOPL in 2020.[25] Former subsidiary of Dwango.
MC Lothlorien,UK,1982,Defunct in 1990.
MC2 France,France,2003,Currently publishes under the Microids label.
MECC,United States,1973,Defunct in 1999.
MGM Interactive,United States,1995,Software publishing arm of Metro-Goldwyn-Meyer. Defunct in 2005.
MLB Advanced Media,United States,2000,
MOSS,Japan,1993,
MTO,Japan,1996,
MTV Games,United States,2006,
MacPlay,United States,1993,Label of Interplay until 1997. Revived in 2000 as a label of United Developers.
MacSoft,United States,1993,Acquired by Destineer in 2003.
MachineGames,Sweden,2009,Founded by former employees of Starbreeze Studios; acquired by ZeniMax Media in 2010
Mad Catz,United States,1989,Defunct in 2017.
Magenta Software,United Kingdom,1994,
Magical Company,Japan,1985,No longer publishes video games.
Magnavox,United States,1911,Also a video game developer. Acquired by Philips in 1974. Exited the video game industry in 1984.
Majesco Entertainment,United States,1986,"Defunct December 8, 2016"
Mandarin Software,UK,1988,Publishing label of Europress Software. Last game published in 1990.
MangaGamer,Japan,2009,
Martech,UK,1982,Ceased publishing video games in 1989.
Marvelous,Japan,1997,Developer/publisher
Marvelous Entertainment,Japan,1997,Merged with AQ Interactive in 2011 to become Marvelous AQL (later Marvelous).
Masaya,Japan,1985,"Label of NCS until 2014, and of Extreme since then."
Massive Entertainment,Sweden,1997,Founded in 1997; former subsidiary of Activision and acquired by Ubisoft in 2008
Mastertronic,UK,1983,"Merged with Virgin Interactive in 1988, and subsequently absorbed into Sega in 1991."
Masthead Studios,Bulgaria,2005,
Mastiff,California,2002,Also a video game developer.
Matrix Games,United States,2000,Merged into Slitherine Software in 2010 and their games are published by Slitherine.
Matrix Software,Japan,1994,
Mattel,United States,1945,Exited the video game business in 1984.
Max Design,Austria,1991,Defunct in 2004.
Maximum Games,United States,2009,Formerly Maximum Family Games
Maxis,United States,1987,Became a subsidiary of Electronic Arts in 1997
Mean Hamster Software,United States,1985,
Media Factory,Japan,1986,"Label of Recruit until 2011, and of Kadokawa Corporation since then. No longer publishes video games."
Media Molecule,United Kingdom,2006,Founded by former employees of Lionhead Studios; division of SIE Worldwide Studios since 2010
Media Rings,Japan,1989,Defunct in 2007.
Media.Vision,Japan,1993,
MediaWorks,Japan,1992,"Merged with ASCII Corporation in 2008 to become ASCII MediaWorks. In 2009, its game business was merged into Kadokawa Games."
Mediatonic,United Kingdom,2005,
Mega Enterprise,South Korea,1998,Defunct in 2007.
MegaZebra,Germany,2009,
Melbourne House,Australia,1977,Acquired by Krome Studios in 2006; closed in 2010.
Meldac,Japan,1990,No longer publishes video games.
Mercury Steam,Spain,2002,
"Metro3D, Inc.",United States,1998,Defunct in 2004.
Metropolis Software,Poland,1992,Studio was bought by CD Projekt in 2008 and closed in 2009.
Micro Genius,Taiwan,1989,Defunct in 1994.
Micro Power,UK,1980,Defunct in 1987.
MicroGraphic Image,United States,1983,Defunct in 1984.
MicroIllusions,United States,1987,Last game published in 1989.
MicroProse,United States,1982,"Acquired by Hasbro Interactive, name retired."
MicroProse Software,United States,1982,
Microcabin,Japan,1982,"Acquired by AQ Interactive in 2008, and by Fields Corporation in 2011."
Microdeal,UK,1981,Rights sold to HiSoft Systems in 1989.
Micrografx,United States,1982,Acquired by Corel in 2001.
Microids,France,1984,Also a video game developer. Subsidiary of Média-Participations.
"Micronet co., Ltd.",Japan,1982,No longer publishes video games.
Microsoft,United States,1975,Publishes games under the Xbox Game Studios banner since 2019. Also owns publisher Bethesda Softworks
Microsoft Casual Games,United States,2013,Subsidiary by Microsoft Studios
Microsphere,UK,1982,Defunct in 1987.
Midas Interactive Entertainment,UK,1999,Still sells old games but no longer publishes new games under the name.
Midway Games,United States,1988,As of 2012liquidation plan
Midway Manufacturing,United States,1958,Also a video game developer. Acquired by Bally in 1969; Bally/Midway was in turn acquired by Williams Electronics in 1987. Reformed as Midway Games in 1988.
Midway Studios – Newcastle,United Kingdom,1996,Defunct in 2009
Mikro-Gen,UK,1981,Acquired by Creative Sparks Distribution in 1987.
MileStone Inc.,Japan,2003,Closed in 2013.
Milestone,Japan,2003,
Milestone srl,Italy,1996,Acquired by Koch Media in 2019
Millennium Interactive,UK,1988,Acquired by Sony Interactive Entertainment in 1997.
Milton Bradley Company,United States,1860,Acquired by Hasbro in 1984. Defunct in 2009.
Mimimi Games,Germany,2011,
Minato Soft,Japan,2006,Also publishes under the Whale label.
Mindcraft,United States,1989,Last game published in 1993.
Mindscape,United States,1980,No longer publishes video games.
Minori,Japan,2001,Software division of CoMixWave until 2007.
Mirrorsoft,UK,1982,Acquired by Acclaim Entertainment in 1992.
Mistwalker,Japan,2004,
Mitchell Corporation,Japan,1960,
Mode 7 Games,United Kingdom,2005,Developer and publisher; publisher-only since 2019.
Mojang,Sweden,2009,Acquired by Microsoft in 2014.
Mojang AB,Sweden,2009,"Former Indie developer and publisher; acquired by Microsoft on September 15, 2014"
Monolith Productions,United States,1994,Acquired by Warner Bros. Interactive Entertainment in 2004
Monolith Soft,Japan,1999,Founded by Tetsuya Takahashi and former subsidiary of Namco; acquired by Nintendo as a first-party developer and subsidiary in 2007
Monster Games,United States,1996,
Monte Cristo,France,1995,Defunct in 2010
Moon Studios,Austria,2010,
Moonstone,Japan,2003,Also publishes under the Moonstone Cherry label.
Mosaic Publishing,UK,1983,Defunct in 1988.
Motown Games,United States,1994,Software publishing arm of Motown. Defunct in 1996.
Mountain King Studios,United States,1992,No longer publishes video games.
Mr Chip Software,UK,1982,Ceased publishing video games in 1984; changed name to Magnetic Fields in 1988.
Mud Duck Productions,United States,2002,Label of ZeniMax Media. Defunct in 2007.
MumboJumbo,United States,2001,
Muse Software,United States,1978,Also a video game developer.
Mystique,United States,1982,Offshoot of Caballero Control Corporation and American Multiple Industries. Defunct in 1983.
Mythic Entertainment,United States,1995,Acquired by Electronic Arts in 2006 and closed in 2014
NAPS team,Italy,1993,NAPS team is the oldest Italian development studio
NBCUniversal,New York City,2004,The game publishing division will be closed in 2019.[4]
NCSoft,South Korea,1997,Online game developer/publisher
NCsoft,South Korea,1997,
NDOORS Corporation,South Korea,1999,Developer/publisher; subsidiary of Nexon; merged into Nexon Red in 2017[26]
NDcube,Japan,2000,Subsidiary of Nintendo
NEC Corporation,Japan,1899,Exited the video game industry in 1998.
NTDEC,Taiwan,1983,Defunct in 1993.
Nacon (formerly Bigben Interactive SA),France,1981,
Nadeo,France,2000,Acquired by Ubisoft in 2009
Namco,Japan,1955,No longer publishes video games. Video game division merged with Bandai's video game operations as Namco Bandai Games.
Namco Tales Studio,Japan,1986,Originally it was division or subsidiary of Telenet Japan but it became a jointly-owned company of Namco and Telenet Japan
Nanobit,Croatia,2008,
Natsume,Japan,1987,
Natsume Co Ltd,Japan,1987,Renamed to Natsume-Atari in 2013 following merger with subsidiary Atari.
Natsume Inc,California,1988,Division of Natsume Co Ltd until 1995.
NaturalMotion,United Kingdom,2001,Acquired by Zynga
Naughty Dog,United States,1986,Division of SIE Worldwide Studios since 2001
Navel,Japan,2003,"Label of Omega Vision, Inc."
Naxat Soft,Japan,1988,Defunct in 2015.
Neko Entertainment,France,1998,Developer/publisher; defunct in 2017
Nerve Software,United States,1999,
NetDevil,United States,1997,
NetDragon Websoft,China,1999,
NetEase,China,1997,"Developer, publisher, and online services company"
Netdragon,China,1997,Also a video game developer.
Netease,China,1997,Also a video game developer and online services company.
NetherRealm Studios,United States,2010,Successor to Midway Games; Subsidiary of Warner Bros. Interactive Entertainment
Neverland,Japan,1993,
Neversoft,United States,1994,Acquired by Activision in 1999; merged into Infinity Ward in 2014
Nevosoft,Russia,2002,
New Generation Software,UK,1982,Defunct in 1986.
New World Computing,United States,1984,
New World Interactive,United States,2010,Acquired by Embracer Group in 2020[1]
NewKidCo,United States,1998,Defunct in 2005.
Nexon,South Korea,1994,Also a video game developer.
NexonNexon Korea,JapanSouth Korea,20021994,"Online video game developer, publisher and distributor; moved its headquarters from Korea to Japan."
Next Level Games,Canada,2002,
Niantic,United States,2010,
Nibris,Poland,2000,
Nicalis,United States,2007,Indie developer/publisher
Nihon Bussan,Japan,1970,A.K.A. Nichibutsu
Nihon Falcom,Japan,1981,Developer/publisher
Nikita Online,Russia,1991,
Nimble Giant Entertainment,Argentina,2002,Acquired by Embracer Group in 2020.[18]
Ninja Theory,United Kingdom,2000,Former Indie developer and publisher; acquired by Microsoft Studios in 2018
Ninjabee,United States,2005,Division of Wahoo Studios
Nintendo,Japan,1889,First-party developer/publisher/console manufacturer
Nippon Ichi Software,Japan,1991,Developer/publisher
Nitroplus,Japan,2000,
Nival,Russia,1996,
Nokia,Finland,1865,
Nordcurrent,Lithuania,2002,
Nordeus,Serbia,2009,Developer/publisher
NovaLogic,United States,1985,Their assets were acquired by THQ Nordic
Novagen Software,UK,1983,Defunct in 1992.
Novarama,Spain,2003,
Now Production,Japan,1986,
Nude Maker,Japan,2002,Formed by former employees of Human Entertainment
Nutting Associates,United States,1965,Defunct in 1976.
O3 Entertainment,United States,2001,
Obsidian Entertainment,United States,2004,Acquired by Microsoft Studios in 2018
Ocean Software,UK,1984,Acquired by Infogrames
Ocean State Publishing,United States,1990,Label of Rhode Island Soft Systems. Acquired by Freeze.com in 2003.
Oculus Studios,United States,2014,Game publishing arm of Oculus VR.
Oddworld Inhabitants,United States,1994,
Odin Computer Graphics,UK,1985,"Defunct in 1988, re-established in 2005."
Omega Force,Japan,1997,Division of Koei Tecmo Games
Opera Soft,Spain,1986,Defunct in 1992.
Orbital Media,Canada,2003,No longer publishes video games.
Origin Systems,United States,1983,Acquired by Electronic Arts in 1992 and closed in 2004
Orion Interactive,United States,1996,Defunct following acquisition by Metro-Goldwyn-Meyer in 1997.
OtherSide Entertainment,United States,2013,Founded by one of Looking Glass Studios founders.
Out of the Park Developments,Germany,1999,
Outfit7,Slovenia,2010,"Acquired by Zhejiang Jinke Entertainment Culture Co., Ltd. in 2017"
Outrage Entertainment,United States,1996,Closed in 2004
Overkill Software,Sweden,2009,Acquired by Starbreeze Studios in 2012
Oxygen Games,UK,2004,Also a video game developer.
Oxygen Studios,United Kingdom,2006,
OziSoft,Australia,1982,"Acquired by Infogrames in 1998, and Namco Bandai Games in 2009."
PF Magic,United States,1991,Acquired by Ubisoft in 1998.
Pacific Novelty,United States,1980,Last game published in 1983.
Pack-In-Video,Japan,1970,Acquired by Victor Entertainment in 1996; became Victor Interactive Software.
Page 44 Studios,United States,1998,Subsidiary of Zynga; closed in 2011.
Palace Software,UK,1983,Acquired by Titus Software in 1991.
Palette,Japan,2002,
Panasonic,Japan,1918,No longer publishes video games.
Panda Entertainment,Taiwan,1993,Last game published in 1997.
Pandemic Studios,United States,1998,Acquired by Electronic Arts in 2007 and closed in 2009.
Panesian Taiwan,Taiwan,1990,Publisher of eroge for the Family Computer and NES
Pangea Software,United States,1987,
Panther Games,Australia,1985,No longer publishes video games. Their games are now published by Lock 'n Load Publishing.
Panther Games Pty Ltd,Australia,1985,
Panther Software,Japan,1987,Last game published in 2004.
Papaya Studio,United States,1999,
Paradox Development Studio,Sweden,1995,In-house development studio and subsidiary of Paradox Interactive
Paradox Interactive,Sweden,1998,Also a video game developer.
Paragon Software,United States,1985,Defunct in 1992.
Parallax Software,United States,1993,Split into Volition and Outrage Entertainment
Parker Brothers,United States,1883,"Acquired by Hasbro in 1991, which continued to use it as a label on some video games until 1994."
Parsoft Interactive,United States,1991,Defunct in 2002.
Pendulo Studios,Spain,1993,
Penguin Software,United States,1978,
Pentavision,South Korea,2003,Division of Neowiz Games. Merged with GameOn Studios in 2012.
People Can Fly,Poland,2002,
Perfect World,China,2004,Developer/publisher
Personal Software Services,UK,1981,Acquired by Mirrorsoft in 1987.
Petit Ferret,Japan,2002,Defunct.
Petroglyph,United States,2003,
Petroglyph Games,US,2003,Also a video game developer.
Phantagram,South Korea,1994,Acquired by Blueside in 2010[27]
Phenomic Game Development,Germany,1997,Acquired by Electronic Arts in 2006; shut down in 2013
Philips,Netherlands,1891,No longer publishes video games.
Pi Studios,United States,2002,
Pionesoft,Japan,2003,Defunct in 2008.
Pipeworks Studios,United States,1999,Subsidiary of Northern Pacific Group
Piranha Bytes,Germany,1997,Acquired by THQ Nordic in 2019
Piranha Games,Canada,2000,Acquired by Enad Global 7 in 2020.[3]
Piranha Interactive Publishing,United States,1995,Defunct in 1999.
Pivotal Games,United Kingdom,2000,
Pixel Federation,Slovakia,2007,Developer/Publisher
PlatinumGames,Japan,2006,"Successor to Clover Studio, and founded by Shinji Mikami, Atsushi Inaba, and Hideki Kamiya."
PlayFirst,United States,2004,"Acquired by Glu Mobile in 2014; Casual game developer, publisher and portal"
Playdom,United States,2009,"Facebook, Myspace game developer Subsidiary of The Walt Disney Company; closed in 2016"
Playfish,United Kingdom,2007,"Facebook, Myspace game developer Acquired by Electronic Arts; closed in 2013"
Playground Games,United Kingdom,2009,Acquired by Microsoft Studios in 2018
"Playlogic Entertainment, Inc.",Amsterdam,2002,
Playmates Toys,United States,1966,
Polyphony Digital,Japan,1998,Division of SIE Worldwide Studios
Pony Canyon,Japan,1966,No longer publishes video games.
PopCap Games,United States,2000,"Casual game developer, publisher and portal; subsidiary of Electronic Arts since 2011"
Portkey Games,United Kingdom,2017,Label of Warner Bros. Interactive Entertainment. Focused on publishing games related to the Wizarding World franchise.
Positech Games,UK,1997,
Press Play,Denmark,2006,Former subsidiary of Microsoft Studios; defunct in March 2016
Presto Studios,United States,1991,Defunct in 2002.
PrincessSoft,Japan,2001,"Publishing label of Oaks Co., Ltd."
Prism Leisure Corporation,UK,1984,"Also published under the Addictive Games, Endurance Games, and Paxman Promotions labels. Defunct."
Private Division,US,2017,Label of Take-Two Interactive
Probe Software,UK,1984,Acquired by Acclaim Entertainment in 1999; defunct in 2004.
Programma International,United States,1978,Defunct in 1983.
Project Sora,Japan,2009,Subsidiary of Nintendo; became defunct in 2012
Project Soul,Japan,1996,Division of Bandai Namco Studios
Prototype,Japan,2006,
Psikyo,Japan,1992,Defunct in 2003; continued to be used a label until 2005.
Psygnosis,UK,1984,Also a video game developer.
Psyonix,United States,2001,Acquired by Epic Games in 2019
Psytronik Software,UK,1993,
Pulltop,Japan,2002,
Punch Entertainment,Vietnam,2005,"Subsidiary of Evolable Asia [ja]; Casual games, social games developer"
Purple Lamp Studios,Austria,2018,Acquired by Embracer Group in 2020.[18]
Purple Moon,United States,1997,Acquired by Mattel in 1999.
Purple software,Japan,1985,Label of JAST. Known as Purple until 1998.
Pyro Mobile,Spain,1996,Subsidiary of Zed Group; their assets were acquired by Kalypso Media[28]
Q Entertainment,Japan,2003,Acquired by Sanyo Kasei Seisakusho in 2013 and the parent company was defunct in 2018.
Q-Games,Japan,2001,
Quality Software,United States,1978,Defunct in 1984.
Quantic Dream,France,1997,
Quantum Axcess,United States,1994,Last game published c. 2003.
Quantum Quality Productions,United States,1991,Acquired by American Laser Games in 1994; defunct in 1995.
Quest Corporation,Japan,1988,The game development division was acquired by Square in 2002
Quicksilva,UK,1983,"Acquired by Argus Press Software in 1984, which used the Quicksilva name as a label until 1989."
QuinRose,Japan,2005,
Quintet,Japan,1987,Defunct in 2002.
Qute,Japan,1999,
R2Games,China,2010,
RTL Group,Luxembourg,1920,"Published under the RTL Playtainment label. Currently its subsidiary, BroadbandTV, publishes some mobile games."
Rabbit Software,UK,1982,Acquired by Virgin Games in 1985.
Radica Games,United States,1983,Acquired by Mattel in 2006.
Radical Entertainment,Canada,1991,Shut down by Activision and dissolved in 2013[29]
Rage Games,United Kingdom,1992,Defunct in 2003
Rage Software,UK,1992,Defunct in 2003.
Rainbird Software,UK,1986,"Label of Telecomsoft until 1989, and of MicroProse from then until its discontinuation in 1991."
Rainbow Arts,Germany,1984,Also a video game developer. Acquired by Funsoft and subsequently absorbed into THQ in 1999.
Rainbow Studios,United States,1996,"Acquired by THQ, later closed by THQ"
Random House,United States,1927,No longer publishes video games.
Rare,United Kingdom,1985,Successor to Ultimate Play the Game; second-party developer for Nintendo; turned; Acquired by Microsoft Studios in 2002 as a first-party developer
Raven Software,United States,1990,Acquired by Activision in 1997
Ravensburger Interactive,Germany,1883,Video game subsidiary of Ravensburger AG. Acquired by JoWooD Productions in 2002.
Raw Fury,Sweden,2015,
Raw Thrills,United States,2001,
Ready at Dawn,United States,2003,Formed by former members of Naughty Dog and Blizzard Entertainment. Acquired by Facebook in 2020.[30]
